175,64,260,0
170,70,265,0
180,71,270,0
183,78,265,0
182,80,280,0
180,100,275,0
169,69,265,0
173,91,260,0
172,90,255,0
177,70,260,0
178,75,265,0
175,80,270,0
174,74,270,0
173,69,265,0
179,80,275,0
168,77,265,0
172,71,265,0
177,69,260,0
174,76,255,0
175,86,260,0
160,54,245,1
158,48,230,1
163,49,240,1
167,52,235,1
170,60,240,1
171,54,240,1
164,46,245,1
165,52,230,1
166,50,230,1
162,53,225,1
161,49,230,1
165,54,240,1
158,49,230,1
156,52,230,1
159,43,235,1
163,55,250,1
164,60,245,1
169,61,240,1
160,47,245,1
166,53,245,1
